stcty,D_PctEst,EM_PctEst,F_PctEst,FB_PctEst,LEP_PctEst,LI_PctEst,OA_PctEst,RM_PctEst,Y_PctEst,msaname,Mean_IPD
08041,12.2,16.5,49.6,6.9,3.7,28,11.8,20.5,24.8,"COLORADO SPRINGS,  CO",16
08059,9.9,15.2,50.2,6.7,3.3,19.5,15.1,9.2,20.6,"DENVER, CO",14
08069,9.8,11.2,50.2,5.4,2.4,27.5,14.2,8.8,20.3,"FORT COLLINS-LOVELAND, CO",14
08077,14.7,14.2,50.6,3.7,1.9,33.4,17.3,6,22.1,"GRAND JUNCTION, CO",16
08101,19.3,42.7,50.8,3.9,3.2,42.7,17.4,22.3,23.1,"PUEBLO, CO",19
08123,10.2,29,49.7,8.8,7.1,28.7,11.4,11.2,26.8,"GREELEY, CO",16
09001,9.2,19,51.3,21.7,12.2,21.3,14.9,26.5,23.2,NEW HAVEN-BRIDGEPORT-STAMFORD-WATERBURY-DANBU,18
09003,11.9,17.3,51.4,15.2,9,24.5,16.2,28.2,21.4,"HARTFORD, CT",18
09005,10.8,5.7,50.6,7.8,3.4,17.1,19.2,7,19.1,"HARTFORD, CT",14
09007,10.6,5.9,51.1,7.7,3.4,17.5,18.4,11.2,18.8,"HARTFORD, CT",14
09009,11.3,17.2,51.8,12,7.4,26.1,16.2,25.6,20.8,NEW HAVEN-BRIDGEPORT-STAMFORD-WATERBURY-DANBU,17
09011,12.9,10,49.9,8.3,4.9,23.2,16.7,18.8,20,"NEW LONDON-NORWICH, CT",15
09013,10.1,5.2,49.8,7.1,2.7,17.3,14.3,11.3,18.1,"HARTFORD, CT",14
10001,14.2,6.8,51.7,6,3.5,33.1,15.8,33.2,23.4,"DOVER, DE",17
10003,10.7,9.6,51.6,10.8,4.6,25,14.2,35.2,22,"WILMINGTON-NEWARK, DE-MD",17
11001,11.7,10.7,52.6,14,5.7,30.5,11.9,59.3,17.6,"WASHINGTON, DC-MD-VA-WV",17
12001,10.7,9.3,51.6,10,3.6,41.1,12.8,30.5,18,"GAINESVILLE, FL",16
12005,18.4,6,50.3,5.7,2.6,36,16.3,18.1,21.6,"PANAMA CITY, FL",16
12009,15.3,9.7,51.1,8.6,3.4,33,22.7,17.1,18.7,"MELBOURNE-TITUSVILLE-PALM BAY, FL",17
12011,11.1,28.4,51.3,33.1,15.9,34.5,15.6,38.4,21.5,"FORT LAUDERDALE, FL",20
12015,21.5,6.9,51.3,10.2,3.4,33.6,38.3,9.9,12.8,"PUNTA GORDA, FL",18
12019,13.3,9.3,50.8,6.9,3.2,26.9,14.5,19.2,24.1,"JACKSONVILLE, FL",16
12021,11.5,27.2,50.8,24.3,14.4,31.2,30.2,11.9,17.9,"NAPLES, FL",18
12031,13.5,9,51.5,10.3,5.3,35.7,13,39.3,22.8,"JACKSONVILLE, FL",17
12033,15,5.5,50.4,4.8,2.4,34.3,15.8,31.7,21,"PENSACOLA, FL",16
12035,15.9,10,52,11.1,6.1,34.8,28.7,17.4,17.8,"DAYTONA BEACH, FL",18
12039,19.8,10,52.6,5.3,4.8,49.8,16,58.6,22.1,"TALLAHASSEE, FL",19
12053,19.1,12.2,52.1,6.9,3.4,37.6,27.5,10.3,18.7,"TAMPA-ST. PETERSBURG-CLEARWATER, FL",18
12057,11.6,27.4,51.3,16.5,10.6,35.8,13.5,29.1,23.1,"TAMPA-ST. PETERSBURG-CLEARWATER, FL",19
12069,16.3,14.4,51.6,8.3,4.3,34,26.1,17.1,19.7,"ORLANDO, FL",18
12071,13.8,20.2,51,16.1,9.4,35.1,27,15.3,18.4,"FORT MYERS-CAPE CORAL, FL",18
12073,11.1,6.1,52.4,6.7,2.3,38.3,11.9,37.9,18.8,"TALLAHASSEE, FL",16
12081,14.1,15.9,51.7,12.6,6.4,32.9,26,14.5,19.1,"SARASOTA-BRADENTON, FL",18
12083,18.2,12.4,52,7.2,3.4,40.8,28,18,18.8,"OCALA, FL",18
12085,14.9,13.2,50.5,10.2,6,28.6,29.7,12.3,16.8,"FORT PIERCE-PORT ST. LUCIE, FL",17
12086,10.2,67.5,51.5,52.9,35.1,43.1,15.3,24.4,20.5,"MIAMI, FL",22
12089,15.8,3.8,50.7,3.5,1.4,26.5,20.4,9.6,20.3,"JACKSONVILLE, FL",14
12091,14.8,8.7,49.3,6.8,3.2,29.2,15.1,21.2,22.3,"FORT WALTON BEACH, FL",16
12095,10.6,30.2,50.9,20.7,13.4,38.7,11.1,36.3,22.6,"ORLANDO, FL",19
12097,14.5,51.6,50.7,19.9,18.4,45.7,12.5,25.6,25,"ORLANDO, FL",21
12099,12.3,21.3,51.6,24.6,13,32.9,23,25.8,19.5,"WEST PALM BEACH-BOCA RATON, FL",19
12101,16.5,14,51.3,9.3,4,34.8,22.3,11.9,20.5,"TAMPA-ST. PETERSBURG-CLEARWATER, FL",18
12103,15.1,9.2,52,11.8,5.1,33,23.4,18.1,16.9,"TAMPA-ST. PETERSBURG-CLEARWATER, FL",17
12105,15.5,20.6,51,10,7.7,41.8,19.8,21.7,22.6,"LAKELAND-WINTER HAVEN, FL",19
12109,11.5,6.4,51.4,6.9,2.1,20.7,18.6,11,22,"JACKSONVILLE, FL",15
12111,15.8,18.1,51.1,16.3,9,38.6,22.8,26.5,20.6,"FORT PIERCE-PORT ST. LUCIE, FL",19
12113,16.2,5.2,48.8,4.7,1.7,28.2,14.9,14.2,22.4,"PENSACOLA, FL",15
12115,16,8.8,52.2,12.4,5.3,27,34.8,8.7,14.8,"SARASOTA-BRADENTON, FL",17
12117,10.1,20.1,51.7,12.4,6,28.9,14.4,21.7,21.5,"ORLANDO, FL",17
12127,16.7,12.9,51.3,7.5,4.1,38.7,23.4,17.1,18,"DAYTONA BEACH, FL",17
13013,13,10,50.7,7.3,4.9,34.9,11.5,20.2,27,"ATLANTA, GA",17
13015,14.8,8.2,50.4,5.2,3.2,36.9,13,16.2,25,"ATLANTA, GA",16
13021,15.5,3.2,53,3.5,1.8,48.3,14.4,58.6,24.9,"MACON, GA",18
13029,11.4,6.6,50.4,4.2,1.6,28.3,10.1,22.4,29.2,"SAVANNAH, GA",15
13045,15.2,6.7,51.2,3.9,2.9,40.8,12.7,25.2,24.2,"ATLANTA, GA",17
